['american_football.football_coach', '?type', 'people.person']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_personality']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.producer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.writer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'business.business_operation']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'theater.theater_actor']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.music_video_director']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'exhibitions.exhibition_sponsor']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'cvg.cvg_publisher']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'cvg.cvg_developer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_writer']
['film.film', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.lyricist']
['film.film', 'book.written_work.author', 'book.author']
['film.film', 'film.film.country', 'location.country']
['film.film', 'film.film.directed_by', 'film.director']
['film.film', 'film.film.distributors-film.film_film_distributor_relationship.distributor', 'business.business_operation']
['film.film', 'film.film.distributors-film.film_film_distributor_relationship.distributor', 'film.film_distributor']
['film.film', 'film.film.genre', 'film.film_genre']
['film.film', 'film.film.genre', 'media_common.media_genre']
['film.film', 'film.film.genre', 'tv.tv_genre']
['film.film', 'film.film.genre', 'film.film_festival_focus']
['film.film', 'film.film.genre', 'award.award_discipline']
['film.film', 'film.film.genre', 'broadcast.genre']
['film.film', 'film.film.genre', 'business.industry']
['film.film', 'film.film.genre', 'cvg.cvg_genre']
['film.film', 'film.film.language', 'language.human_language']
['film.film', 'film.film.language', 'education.field_of_study']
['film.film', 'film.film.music', 'film.music_contributor']
['film.film', 'film.film.music', 'music.artist']
['film.film', 'film.film.produced_by', 'film.producer']
['film.film', 'film.film.production_companies', 'film.production_company']
['film.film', 'film.film.production_companies', 'business.business_operation']
['film.film', 'film.film.release_date_s-film.film_regional_release_date.film_release_region', 'location.country']
['film.film', 'film.film.starring-film.performance.actor', 'film.actor']
['film.film', 'film.film.starring-film.performance.actor', 'tv.tv_actor']
['film.film', 'film.film.starring-film.performance.character', 'film.film_character']
['film.film', 'film.film.starring-film.performance.character', 'fictional_universe.fictional_character']
['film.film', 'film.film.starring-film.performance.character', 'tv.tv_character']
['film.film', 'film.film.starring-film.performance.character', 'comic_books.comic_book_character']
['film.film', 'film.film.story_by', 'book.author']
['film.film', 'film.film.story_by', 'film.director']
['film.film', 'film.film.written_by', 'film.writer']
['film.film_character', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'film.actor']
['film.film_character', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'tv.tv_actor']
['film.film_character', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.actor']
['film.film_character', 'film.film_character.portrayed_in_films-film.performance.actor', 'film.actor']
['film.film_character', 'film.film_character.portrayed_in_films-film.performance.actor', 'tv.tv_actor']
['film.film_character', '?type', 'fictional_universe.fictional_character']
['film.film_character', 'tv.tv_character.appeared_in_tv_program-tv.regular_tv_appearance.actor', 'film.actor']
['film.film_character', 'tv.tv_character.appeared_in_tv_program-tv.regular_tv_appearance.actor', 'tv.tv_actor']
['film.film_distributor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['film.film_distributor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['film.film_distributor', '?type', 'business.business_operation']
['film.film_distributor', 'tv.tv_network.programs-tv.tv_network_duration.program', 'tv.tv_program']
['film.film_festival_focus', '?type', 'media_common.media_genre']
['film.film_festival_focus', '?type', 'tv.tv_genre']
['film.film_genre', '?type', 'media_common.media_genre']
['film.music_contributor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['film.music_contributor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['film.music_contributor', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['film.music_contributor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['film.music_contributor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['film.music_contributor', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['film.music_contributor', 'music.artist.album', 'music.album']
['film.music_contributor', 'music.composer.compositions', 'music.composition']
['film.music_contributor', '?type', 'people.person']
['film.music_contributor', '?type', 'music.artist']
['film.producer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['film.producer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['film.producer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['film.producer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['film.producer', '?type', 'people.person']
['film.production_company', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['film.production_company', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['film.production_company', '?type', 'business.business_operation']
['film.production_company', 'tv.tv_network.programs-tv.tv_network_duration.program', 'tv.tv_program']
['film.writer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['film.writer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['film.writer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['film.writer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['film.writer', '?type', 'film.director']
['geography.body_of_water', '?type', 'location.location']
['geography.island', '?type', 'location.location']
['geography.mountain', '?type', 'location.location']
['government.election', '?type', 'time.event']
['government.general_election', '?type', 'time.event']
['government.government_agency', '?type', 'organization.organization']
['government.political_party', 'government.political_party.politicians_in_this_party-government.political_party_tenure.politician', 'people.person']
['government.political_party', 'government.political_party.politicians_in_this_party-government.political_party_tenure.politician', 'government.politician']
['government.political_party', '?type', 'organization.organization']
['government.politician', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.location']
['government.politician', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.administrative_division']
['government.politician', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.us_state']
['government.politician', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.australian_state']
['government.politician', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.province']
['government.politician', 'government.politician.party-government.political_party_tenure.party', 'government.political_party']
['government.politician', 'government.politician.party-government.political_party_tenure.party', 'book.author']
['government.politician', 'government.politician.party-government.political_party_tenure.party', 'government.election_campaign']
['government.politician', 'government.politician.party-government.political_party_tenure.party', 'book.periodical_publisher']
['government.politician', 'government.politician.party-government.political_party_tenure.party', 'fictional_universe.fictional_organization']
['government.politician', '?type', 'people.person']
['government.u_s_congressperson', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.location']
['government.u_s_congressperson', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.us_state']
['government.u_s_congressperson', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.administrative_division']
['government.u_s_congressperson', 'government.politician.party-government.political_party_tenure.party', 'government.political_party']
['government.u_s_congressperson', 'government.politician.party-government.political_party_tenure.party', 'government.election_campaign']
['government.u_s_congressperson', '?type', 'government.politician']
['government.us_president', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.us_state']
['government.us_president', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.administrative_division']
['government.us_president', 'government.politician.government_positions_held-government.government_position_held.district_represented', 'location.location']
['government.us_president', 'government.politician.party-government.political_party_tenure.party', 'government.political_party']
['government.us_president', '?type', 'government.politician']
['government.us_president', '?type', 'book.author']
['ice_hockey.hockey_player', 'ice_hockey.hockey_player.hockey_position', 'ice_hockey.hockey_position']
['ice_hockey.hockey_player', 'ice_hockey.hockey_player.hockey_position', 'sports.sports_position']
['ice_hockey.hockey_player', '?type', 'sports.pro_athlete']
['ice_hockey.hockey_player', 'sports.pro_athlete.teams-sports.sports_team_roster.position', 'ice_hockey.hockey_position']
['ice_hockey.hockey_position', '?type', 'sports.sports_position']
['ice_hockey.hockey_position', 'sports.sports_position.players-sports.sports_team_roster.player', 'ice_hockey.hockey_player']
['ice_hockey.hockey_team', '?type', 'sports.sports_team']
['ice_hockey.hockey_team', 'sports.sports_team.roster-sports.sports_team_roster.player', 'ice_hockey.hockey_player']
['interests.collection_category', '?type', 'law.invention']
['internet.website_owner', '?type', 'business.business_operation']
['law.legal_case', '?type', 'time.event']
['location.administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'location.administrative_division']
['location.administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'location.country']
['location.administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'location.uk_statistical_location']
['location.administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'royalty.kingdom']
['location.administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'location.uk_constituent_country']
['location.administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'geography.island']
['location.administrative_division', 'base.biblioness.bibs_location.country', 'location.country']
['location.administrative_division', 'government.governmental_jurisdiction.governing_officials-government.government_position_held.office_holder', 'government.politician']
['location.administrative_division', 'location.administrative_division.capital-location.administrative_division_capital_relationship.capital', 'location.location']
['location.administrative_division', 'location.administrative_division.capital-location.administrative_division_capital_relationship.capital', 'location.citytown']
['location.administrative_division', 'location.administrative_division.capital-location.administrative_division_capital_relationship.capital', 'location.capital_of_administrative_division']
['location.administrative_division', 'location.administrative_division.country', 'location.country']
['location.administrative_division', 'location.country.capital', 'location.citytown']
['location.administrative_division', 'military.military_combatant.military_conflicts-military.military_combatant_group.combatants', 'location.country']
['location.administrative_division', 'military.military_combatant.military_conflicts-military.military_combatant_group.combatants', 'royalty.kingdom']
['location.administrative_division', 'military.military_combatant.military_conflicts-military.military_combatant_group.combatants', 'location.administrative_division']
['location.administrative_division', '?type', 'location.location']
['location.australian_local_government_area', '?type', 'location.administrative_division']
['location.australian_state', '?type', 'location.administrative_division']
['location.capital_of_administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'location.administrative_division']
['location.capital_of_administrative_division', 'base.aareas.schema.administrative_area.administrative_parent', 'location.location']
['location.capital_of_administrative_division', 'base.biblioness.bibs_location.country', 'location.country']
['location.capital_of_administrative_division', 'location.capital_of_administrative_division.capital_of-location.administrative_division_capital_relationship.administrative_division', 'location.administrative_division']
['location.capital_of_administrative_division', 'location.capital_of_administrative_division.capital_of-location.administrative_division_capital_relationship.administrative_division', 'location.location']
['location.capital_of_administrative_division', 'location.capital_of_administrative_division.capital_of-location.administrative_division_capital_relationship.administrative_division', 'location.us_county']
['location.capital_of_administrative_division', 'location.capital_of_administrative_division.capital_of-location.administrative_division_capital_relationship.administrative_division', 'location.uk_statistical_location']
['location.capital_of_administrative_division', 'location.hud_county_place.county', 'location.us_county']
['location.capital_of_administrative_division', '?type', 'location.citytown']
['location.citytown', 'base.aareas.schema.administrative_area.administrative_parent', 'location.location']
['location.citytown', 'base.aareas.schema.administrative_area.administrative_parent', 'location.administrative_division']
['location.citytown', 'base.aareas.schema.administrative_area.administrative_parent', 'location.country']
['location.citytown', 'base.aareas.schema.administrative_area.administrative_parent', 'location.jp_prefecture']
['location.citytown', 'base.aareas.schema.administrative_area.administrative_parent', 'location.uk_constituent_country']
['location.citytown', 'base.aareas.schema.administrative_area.administrative_parent', 'location.uk_statistical_location']
['location.citytown', 'base.biblioness.bibs_location.country', 'location.country']
['location.citytown', 'location.administrative_division.country', 'location.country']
['location.citytown', 'location.hud_county_place.county', 'location.us_county']
['location.citytown', '?type', 'location.location']
['location.country', 'government.governmental_jurisdiction.governing_officials-government.government_position_held.office_holder', 'government.politician']
['location.country', 'location.administrative_division.country', 'location.country']
['location.country', 'location.country.capital', 'location.citytown']
['location.country', 'location.country.capital', 'location.capital_of_administrative_division']
['location.country', 'location.country.languages_spoken', 'language.human_language']
['location.country', 'location.country.languages_spoken', 'education.field_of_study']
['location.country', 'location.country.languages_spoken', 'business.industry']
['location.country', 'location.country.official_language', 'language.human_language']
['location.country', 'location.country.official_language', 'education.field_of_study']
['location.country', 'location.country.official_language', 'business.industry']
['location.country', 'military.military_combatant.military_conflicts-military.military_combatant_group.combatants', 'location.country']
['location.country', 'military.military_combatant.military_conflicts-military.military_combatant_group.combatants', 'location.location']
['location.country', 'military.military_combatant.military_conflicts-military.military_combatant_group.combatants', 'royalty.kingdom']
['location.country', 'olympics.olympic_participating_country.athletes-olympics.olympic_athlete_affiliation.athlete', 'sports.pro_athlete']
['location.country', 'olympics.olympic_participating_country.athletes-olympics.olympic_athlete_affiliation.athlete', 'tennis.tennis_player']
['location.country', 'olympics.olympic_participating_country.athletes-olympics.olympic_athlete_affiliation.athlete', 'tennis.tennis_tournament_champion']
['location.country', 'olympics.olympic_participating_country.athletes-olympics.olympic_athlete_affiliation.athlete', 'sports.cyclist']
['location.country', 'olympics.olympic_participating_country.medals_won-olympics.olympic_medal_honor.medalist', 'sports.pro_athlete']
['location.country', 'olympics.olympic_participating_country.medals_won-olympics.olympic_medal_honor.medalist', 'tennis.tennis_player']
['location.country', 'olympics.olympic_participating_country.medals_won-olympics.olympic_medal_honor.medalist', 'tennis.tennis_tournament_champion']
['location.country', 'olympics.olympic_participating_country.medals_won-olympics.olympic_medal_honor.medalist', 'sports.cyclist']
['location.country', '?type', 'location.location']
['location.hud_county_place', 'base.biblioness.bibs_location.country', 'location.country']
['location.hud_county_place', 'location.hud_county_place.county', 'location.us_county']
['location.hud_county_place', '?type', 'location.citytown']
['location.in_district', 'base.aareas.schema.administrative_area.administrative_parent', 'location.location']
['location.in_district', '?type', 'location.administrative_division']
['location.in_state', '?type', 'location.administrative_division']
['location.jp_prefecture', '?type', 'location.administrative_division']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.location']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.administrative_division']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.country']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.uk_statistical_location']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.jp_prefecture']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.uk_constituent_country']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.in_state']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'royalty.kingdom']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.region']
['location.location', 'base.aareas.schema.administrative_area.administrative_parent', 'geography.island']
['location.location', 'base.biblioness.bibs_location.country', 'location.country']
['location.location', 'government.governmental_jurisdiction.governing_officials-government.government_position_held.office_holder', 'government.politician']
['location.location', 'government.political_district.representatives-government.government_position_held.office_holder', 'government.politician']
['location.location', 'government.political_district.representatives-government.government_position_held.office_holder', 'government.u_s_congressperson']
['location.location', 'location.administrative_division.country', 'location.country']
['location.location', 'location.capital_of_administrative_division.capital_of-location.administrative_division_capital_relationship.administrative_division', 'location.administrative_division']
['location.location', 'location.hud_county_place.county', 'location.us_county']
['location.location', 'location.location.containedby', 'location.location']
['location.location', 'location.location.contains', 'location.location']
['location.location', 'location.location.nearby_airports', 'aviation.airport']
['location.location', 'location.location.street_address-location.mailing_address.citytown', 'location.citytown']
['location.location', 'sports.sports_facility.home_venue_for-sports.team_venue_relationship.team', 'sports.sports_team']
['location.location', 'sports.sports_facility.teams', 'sports.sports_team']
['location.province', '?type', 'location.administrative_division']
['location.region', '?type', 'location.location']
['location.uk_constituent_country', '?type', 'location.country']
['location.uk_constituent_country', '?type', 'location.location']
['location.uk_constituent_country', '?type', 'location.uk_statistical_location']
['location.uk_statistical_location', 'base.aareas.schema.administrative_area.administrative_parent', 'location.uk_statistical_location']
['location.uk_statistical_location', 'location.country.capital', 'location.citytown']
['location.uk_statistical_location', '?type', 'location.administrative_division']
['location.us_county', 'base.aareas.schema.administrative_area.administrative_parent', 'location.us_state']
['location.us_county', 'base.aareas.schema.administrative_area.administrative_parent', 'location.administrative_division']
['location.us_county', 'base.aareas.schema.administrative_area.administrative_parent', 'location.location']
['location.us_county', '?type', 'location.administrative_division']
['location.us_state', 'base.aareas.schema.administrative_area.administrative_parent', 'location.country']
['location.us_state', 'base.aareas.schema.administrative_area.administrative_parent', 'location.location']
['location.us_state', 'base.aareas.schema.administrative_area.administrative_parent', 'location.administrative_division']
['location.us_state', 'base.biblioness.bibs_location.country', 'location.country']
['location.us_state', 'government.governmental_jurisdiction.governing_officials-government.government_position_held.office_holder', 'government.politician']
['location.us_state', 'location.administrative_division.country', 'location.country']
['location.us_state', '?type', 'location.administrative_division']
['martial_arts.martial_artist', 'olympics.olympic_athlete.medals_won-olympics.olympic_medal_honor.event', 'olympics.olympic_event_competition']
['martial_arts.martial_artist', '?type', 'sports.pro_athlete']
['martial_arts.martial_artist', '?type', 'sports.boxer']
['meteorology.tropical_cyclone', 'meteorology.tropical_cyclone.tropical_cyclone_season', 'meteorology.tropical_cyclone_season']
['metropolitan_transit.transit_stop', '?type', 'location.location']
['military.armed_force', '?type', 'organization.organization']
['military.military_conflict', '?type', 'time.event']
['military.military_person', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['military.military_person', 'government.politician.party-government.political_party_tenure.party', 'government.political_party']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'organization.organization']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'military.armed_force']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'aviation.aircraft_owner']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'fictional_universe.fictional_organization']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'book.author']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'cvg.cvg_developer']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'location.country']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'business.business_operation']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'business.customer']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'cvg.cvg_publisher']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'architecture.architectural_structure_owner']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'location.location']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'film.production_company']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'music.artist']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'book.periodical_publisher']
['military.military_person', 'military.military_person.service-military.military_service.military_force', 'award.award_presenting_organization']
['military.military_person', '?type', 'people.person']
['military.military_post', '?type', 'location.location']
['military.military_unit', '?type', 'organization.organization']
['music.album', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'music.artist']
['music.album', 'award.award_nominated_work.award_nominations-award.award_nomination.ceremony', 'award.award_ceremony']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.artist']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'broadcast.artist']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.musical_group']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.composer']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.producer']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.actor']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.group_member']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_actor']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.lyricist']
['music.album', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.music_contributor']
['music.album', 'music.album.artist', 'music.artist']
['music.album', 'music.album.artist', 'broadcast.artist']
['music.album', 'music.album.artist', 'music.musical_group']
['music.album', 'music.album.artist', 'music.group_member']
['music.album', 'music.album.artist', 'music.composer']
['music.album', 'music.album.artist', 'music.lyricist']
['music.album', 'music.album.artist', 'music.producer']
['music.album', 'music.album.artist', 'tv.tv_actor']
['music.album', 'music.album.artist', 'film.actor']
['music.album', 'music.album.artist', 'film.music_contributor']
['music.album', 'music.album.artist', 'music.writer']
['music.album', 'music.album.artist', 'tv.tv_personality']
['music.album', 'music.album.artist', 'celebrities.celebrity']
['music.album', 'music.album.artist', 'book.author']
['music.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['music.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['music.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['music.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['music.artist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'time.event']
['music.artist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['music.artist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['music.artist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['music.artist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['music.artist', 'music.artist.album', 'music.album']
['music.artist', 'music.composer.compositions', 'music.composition']
['music.composer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['music.composer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['music.composer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['music.composer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['music.composer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['music.composer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['music.composer', 'music.artist.album', 'music.album']
['music.composer', 'music.composer.compositions', 'music.composition']
['music.composer', '?type', 'music.artist']
['music.composer', '?type', 'people.person']
['music.composition', 'award.award_nominated_work.award_nominations-award.award_nomination.award_nominee', 'music.artist']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.artist']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.composer']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'broadcast.artist']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.group_member']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.lyricist']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.music_contributor']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.producer']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'film.actor']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'tv.tv_actor']
['music.composition', 'award.award_winning_work.awards_won-award.award_honor.award_winner', 'music.writer']
['music.composition', 'music.composition.composer', 'music.composer']
['music.composition', 'music.composition.composer', 'music.group_member']
['music.composition', 'music.composition.composer', 'music.lyricist']
['music.composition', 'music.composition.composer', 'broadcast.artist']
['music.composition', 'music.composition.composer', 'music.producer']
['music.composition', 'music.composition.composer', 'film.actor']
['music.composition', 'music.composition.composer', 'music.writer']
['music.composition', 'music.composition.composer', 'film.music_contributor']
['music.composition', 'music.composition.composer', 'tv.tv_actor']
['music.composition', 'music.composition.composer', 'book.author']
['music.composition', 'music.composition.composer', 'celebrities.celebrity']
['music.composition', 'music.composition.composer', 'tv.tv_personality']
['music.composition', 'music.composition.composer', 'award.hall_of_fame_inductee']
['music.composition', 'music.composition.composer', 'film.writer']
['music.composition', 'music.composition.composer', 'music.musical_group']
['music.composition', 'music.composition.composer', 'film.producer']
['music.group_member', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['music.group_member', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['music.group_member', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['music.group_member', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['music.group_member', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['music.group_member', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['music.group_member', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['music.group_member', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
['music.group_member', 'music.artist.album', 'music.album']
['music.group_member', 'music.composer.compositions', 'music.composition']
['music.group_member', '?type', 'people.person']
['music.group_member', '?type', 'music.artist']
['music.lyricist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['music.lyricist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['music.lyricist', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['music.lyricist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['music.lyricist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['music.lyricist', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['music.lyricist', 'music.artist.album', 'music.album']
['music.lyricist', 'music.composer.compositions', 'music.composition']
['music.lyricist', '?type', 'music.artist']
['music.lyricist', '?type', 'music.composer']
['music.music_video_director', '?type', 'people.person']
['music.musical_group', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['music.musical_group', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['music.musical_group', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.album']
['music.musical_group', 'music.artist.album', 'music.album']
['music.musical_group', '?type', 'music.artist']
['music.producer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.composition']
['music.producer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'music.album']
['music.producer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['music.producer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'music.composition']
['music.producer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['music.producer', 'music.artist.album', 'music.album']
['music.producer', 'music.composer.compositions', 'music.composition']
['music.producer', '?type', 'music.artist']
['music.producer', '?type', 'people.person']
['music.record_label', '?type', 'business.business_operation']
['music.writer', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'film.film']
['music.writer', 'award.award_winner.awards_won-award.award_honor.honored_for', 'film.film']
['music.writer', 'music.artist.album', 'music.album']
['music.writer', '?type', 'people.person']
['music.writer', '?type', 'music.composer']
['olympics.olympic_event_competition', 'olympics.olympic_event_competition.medalists-olympics.olympic_medal_honor.medalist', 'sports.pro_athlete']
['olympics.olympic_event_competition', 'olympics.olympic_event_competition.medalists-olympics.olympic_medal_honor.medalist', 'sports.cyclist']
['olympics.olympic_event_competition', 'olympics.olympic_event_competition.medalists-olympics.olympic_medal_honor.medalist', 'tennis.tennis_player']
['olympics.olympic_event_competition', 'olympics.olympic_event_competition.medalists-olympics.olympic_medal_honor.medalist', 'sports.boxer']
['olympics.olympic_event_competition', 'olympics.olympic_event_competition.medalists-olympics.olympic_medal_honor.medalist', 'martial_arts.martial_artist']
['olympics.olympic_event_competition', 'olympics.olympic_event_competition.medalists-olympics.olympic_medal_honor.medalist', 'tennis.tennis_tournament_champion']
['olympics.olympic_event_competition', '?type', 'time.event']
['olympics.olympic_games', '?type', 'time.event']
['organization.membership_organization', '?type', 'organization.organization']
['organization.non_profit_organization', '?type', 'business.business_operation']
['organization.organization', 'award.award_nominee.award_nominations-award.award_nomination.nominated_for', 'tv.tv_program']
['organization.organization', 'award.award_winner.awards_won-award.award_honor.honored_for', 'tv.tv_program']
